-60	-0.38	0.6000	-0.1555
-59	-0.38	0.6000	-0.1507
-58	-0.39	0.6000	-0.1458
-57	-0.40	0.5865	-0.1403
-56	-0.41	0.5682	-0.1338
-55	-0.42	0.5428	-0.2274
-54	-0.44	0.5249	-0.1158
-53	-0.45	0.5070	-0.1044
-52	-0.46	0.4894	-0.2283
-51	-0.47	0.4715	-0.2291
-50	-0.49	0.4428	-0.2313
-49	-0.50	0.4327	-0.2296
-48	-0.52	0.4172	-0.2280
-47	-0.53	0.4000	-0.2275
-46	-0.55	0.3905	-0.2259
-45	-0.57	0.3796	-0.2242
-44	-0.58	0.3625	-0.2238
-43	-0.60	0.3463	-0.2222
-42	-0.62	0.3374	-0.2206
-41	-0.64	0.3213	-0.2203
-40	-0.66	0.3082	-0.2187
-39	-0.68	0.3002	-0.2170
-38	-0.70	0.2815	-0.2169
-37	-0.72	0.2716	-0.2153
-36	-0.74	0.2611	-0.2138
-35	-0.76	0.2456	-0.2139
-34	-0.78	0.2359	-0.2125
-33	-0.80	0.2263	-0.2112
-32	-0.82	0.2071	-0.2129
-31	-0.84	0.1906	-0.2144
-30	-0.85	0.1785	-0.2142
-29	-0.86	0.1685	-0.2138
-28	-0.87	0.1551	-0.2147
-27	-0.88	0.1454	-0.2144
-26	-0.87	0.1337	-0.2147
-25	-0.87	0.1236	-0.2148
-24	-0.85	0.1142	-0.2152
-23	-0.83	0.1049	-0.2158
-22	-0.80	0.0967	-0.2164
-21	-0.77	0.0877	-0.2174
-20	-0.73	0.0792	-0.2187
-19	-0.67	0.0710	-0.2203
-18	-0.61	0.0636	-0.2220
-17	-0.54	0.0565	-0.2240
-16	-0.47	0.0494	-0.2266
-15	-0.39	0.0423	-0.2299
-14	-0.30	0.0356	-0.2337
-13	-0.21	0.0298	-0.2374
-12	-0.11	0.0251	-0.2408
-11	0.00	0.0209	-0.2444
-10	0.10	0.0174	-0.2477
-9	0.21	0.0147	-0.2507
-8	0.33	0.0127	-0.2532
-7	0.44	0.0111	-0.2552
-6	0.55	0.0099	-0.2571
-5	0.66	0.0156	-0.2524
-4	0.77	0.0149	-0.2543
-3	0.88	0.0148	-0.2552
-2	0.99	0.0152	-0.2563
-1	1.10	0.0156	-0.2574
0	1.26	0.0138	-0.2586
1	1.37	0.0148	-0.2598
2	1.48	0.0155	-0.2608
3	1.59	0.0170	-0.2622
4	1.70	0.0180	-0.2633
5	1.81	0.0189	-0.2644
6	1.90	0.0198	-0.2655
7	1.98	0.0210	-0.2668
8	2.06	0.0221	-0.2680
9	2.13	0.0233	-0.2690
10	2.19	0.0247	-0.2701
11	2.24	0.0263	-0.2710
12	2.27	0.0279	-0.2720
13	2.30	0.0293	-0.2730
14	2.32	0.0310	-0.2738
15	2.33	0.0329	-0.2748
16	2.33	0.0354	-0.2756
17	2.32	0.0378	-0.2762
18	2.29	0.0447	-0.2761
19	2.26	0.0485	-0.2767
20	2.23	0.0533	-0.2773
21	2.17	0.0593	-0.2775
22	1.98	0.0942	-0.2544
23	1.89	0.1149	-0.2474
24	1.81	0.1311	-0.2444
25	1.74	0.1435	-0.2437
26	1.68	0.1566	-0.2434
27	1.61	0.1698	-0.2434
28	1.55	0.1798	-0.2671
29	1.48	0.1957	-0.2678
30	1.42	0.2095	-0.2680
31	1.36	0.2220	-0.2695
32	1.30	0.2327	-0.2713
33	1.25	0.2474	-0.2716
34	1.20	0.2582	-0.2735
35	1.15	0.2712	-0.2752
36	1.10	0.2827	-0.2770
37	1.05	0.2981	-0.2775
38	1.01	0.3099	-0.2793
39	0.97	0.3241	-0.2810
40	0.93	0.3399	-0.2814
41	0.90	0.3583	-0.2831
42	0.86	0.3634	-0.2848
43	0.83	0.3778	-0.2866
44	0.80	0.3953	-0.2869
45	0.76	0.5233	-0.2825
46	0.73	0.5465	-0.2801
47	0.71	0.5698	-0.1442
48	0.68	0.5932	-0.1561
49	0.66	0.6000	-0.1664
50	0.64	0.6000	-0.1741
51	0.62	0.6000	-0.2731
52	0.60	0.6000	-0.1852
53	0.58	0.6000	-0.1902
54	0.56	0.6000	-0.1936
55	0.54	0.6000	-0.2626
56	0.53	0.6000	-0.2594
57	0.51	0.6000	-0.2562
58	0.50	0.6000	-0.2056
59	0.48	0.6000	-0.2078
60	0.47	0.6000	-0.2506
