-60	-0.40	0.6000	0.1137
-59	-0.41	0.6000	0.1145
-58	-0.42	0.6000	0.1148
-57	-0.43	0.6000	0.1442
-56	-0.45	0.6000	0.1485
-55	-0.46	0.6000	0.1526
-54	-0.48	0.5834	0.1567
-53	-0.49	0.5651	0.1148
-52	-0.51	0.5468	0.1676
-51	-0.52	0.5285	0.1716
-50	-0.54	0.5101	0.1100
-49	-0.56	0.4917	0.1066
-48	-0.58	0.4665	0.1015
-47	-0.61	0.4488	0.0954
-46	-0.63	0.4311	0.1540
-45	-0.66	0.4130	0.0839
-44	-0.68	0.3950	0.1648
-43	-0.71	0.3715	0.1672
-42	-0.75	0.3545	0.1717
-41	-0.78	0.3433	0.1756
-40	-0.81	0.3304	0.1791
-39	-0.85	0.3079	0.1819
-38	-0.89	0.2962	0.1850
-37	-0.93	0.2858	0.1874
-36	-0.98	0.2713	0.1901
-35	-1.03	0.2562	0.1922
-34	-1.08	0.2430	0.1947
-33	-1.13	0.2317	0.1969
-32	-1.19	0.2173	0.1990
-31	-1.24	0.2059	0.2011
-30	-1.30	0.1925	0.2035
-29	-1.36	0.1791	0.2059
-28	-1.43	0.1632	0.2087
-27	-1.50	0.1459	0.2123
-26	-1.58	0.1307	0.2163
-25	-1.66	0.1143	0.2216
-24	-1.84	0.0688	0.2452
-23	-1.92	0.0623	0.2471
-22	-1.99	0.0556	0.2493
-21	-2.05	0.0511	0.2511
-20	-2.11	0.0477	0.2527
-19	-2.16	0.0442	0.2541
-18	-2.20	0.0412	0.2555
-17	-2.23	0.0385	0.2566
-16	-2.25	0.0363	0.2577
-15	-2.26	0.0340	0.2585
-14	-2.26	0.0320	0.2591
-13	-2.24	0.0301	0.2597
-12	-2.21	0.0284	0.2600
-11	-2.17	0.0268	0.2604
-10	-2.12	0.0253	0.2605
-9	-2.06	0.0239	0.2604
-8	-1.99	0.0225	0.2603
-7	-1.90	0.0213	0.2600
-6	-1.80	0.0202	0.2595
-5	-1.69	0.0190	0.2590
-4	-1.58	0.0180	0.2581
-3	-1.47	0.0171	0.2573
-2	-1.36	0.0157	0.2562
-1	-1.26	0.0151	0.2552
0	-1.15	0.0145	0.2541
1	-1.01	0.0158	0.2529
2	-0.90	0.0156	0.2515
3	-0.79	0.0156	0.2497
4	-0.68	0.0157	0.2480
5	-0.57	0.0166	0.2450
6	-0.46	0.0172	0.2426
7	-0.35	0.0182	0.2398
8	-0.24	0.0139	0.2462
9	-0.14	0.0160	0.2431
10	-0.03	0.0190	0.2390
11	0.08	0.0222	0.2354
12	0.18	0.0265	0.2308
13	0.28	0.0320	0.2256
14	0.37	0.0376	0.2212
15	0.45	0.0443	0.2163
16	0.53	0.0513	0.2118
17	0.61	0.0599	0.2071
18	0.68	0.0671	0.2037
19	0.74	0.0823	0.1973
20	0.79	0.0901	0.1950
21	0.84	0.0988	0.1923
22	0.88	0.1084	0.1897
23	0.91	0.1174	0.1874
24	0.93	0.1272	0.1851
25	0.95	0.1369	0.1829
26	0.96	0.1472	0.1807
27	0.97	0.1581	0.1785
28	0.97	0.1702	0.1763
29	0.96	0.1804	0.1743
30	0.96	0.1915	0.1723
31	0.95	0.2038	0.1704
32	0.93	0.2137	0.1686
33	0.92	0.2302	0.1658
34	0.90	0.2420	0.1640
35	0.88	0.2547	0.1622
36	0.86	0.2753	0.1594
37	0.84	0.2868	0.1576
38	0.82	0.3657	0.1542
39	0.80	0.3917	0.1515
40	0.78	0.4105	0.1499
41	0.76	0.4385	0.1481
42	0.73	0.4759	0.1454
43	0.72	0.5061	0.1437
44	0.70	0.5498	0.1419
45	0.67	0.6004	0.1393
46	0.66	0.6004	0.1376
47	0.63	0.6003	0.1358
48	0.61	0.6002	0.1334
49	0.59	0.6002	0.1316
50	0.58	0.6002	0.1299
51	0.56	0.6002	0.1275
52	0.54	0.6001	0.1244
53	0.52	0.6000	0.0555
54	0.50	0.6000	0.0601
55	0.49	0.6000	0.0642
56	0.47	0.6000	0.0671
57	0.46	0.6001	0.1119
58	0.45	0.6000	0.0703
59	0.43	0.6000	0.0712
60	0.42	0.6000	0.0720
